"Dstate","Ddistrict","Dtime","Dy_viol","Dx_viol","Dy_prop","Dx_prop","Dy_murd","Dx_murd","Dxx_1","Dxx_2","Dxx_3","Dxx_4","Dxx_5","Dxx_6","Dxx_7","Dxx_8","Dxv_levitt","Dyv_levitt","Dxp_levitt","Dyp_levitt","Dxm_levitt","Dym_levitt"
23,3,8,0.00505699999999987,0.0952662,-0.00170800000000026,0.1386673,0.0674239999999999,0.0760884,0.0113129999999999,0.0426066,0.007,1.37800000000077e-05,0.00500000000000002,0.0731575,0,-0.000999999999999979,-0.0517794949934895,0.00238688609003063,-0.0658817658997998,0.0191123701342272,-0.0434700064613492,0.0214484639132649
23,3,9,-0.00128799999999973,0.1074846,0.0478369999999999,0.1449563,-0.071329,0.0886684,-0.00880499999999995,0.010033,-0.015,0.000301840000000002,-0.00500000000000002,-0.0103023,0,0.00599999999999998,-0.0404414267262796,0.00676889599177266,-0.0273176958473142,0.0526494761302348,-0.0425516513929633,0.0429640720993054
23,3,10,-0.113501,0.1090429,-0.023933,0.1290941,-0.175354,0.0978016,0.092665,0.0325803,-0.001,0.000375499999999995,-0.062,-0.0260204,0,-0.00699999999999999,-0.0517338730044166,-0.0880715996978128,-0.0460939251660607,-0.0332540820669242,-0.0523901294076281,-0.183216256509605
23,3,11,-0.117744,0.118966,0.00656000000000034,0.129001,-0.0879599999999998,0.1083355,0.0582470000000002,0.015935,-0.002,0.000228400000000004,0.000999999999999997,-0.0431913,0,0.00100000000000001,-0.0488670426271436,-0.0565592269772638,-0.0348429149008097,0.0393381990374139,-0.0515934782305345,-0.0288509921900784
23,3,12,-0.021512,0.1209119,-0.0569850000000001,0.119923,-0.0226329999999999,0.1136801,0.131355,0.0266109999999999,-0.004,-5.34000000000034e-05,0.023,-0.000981500000000051,0,-0.00100000000000001,-0.0462380018102178,-0.000453564455600176,-0.0335801260451969,-0.0347979965549277,-0.0501588239345792,0.0676609587343851
24,2,1,-0.2798397,0.0050963,-0.00318899999999989,0.0188464,-0.683367,0.000522,0.156779,0.0476998999999999,0.00467000000000001,0.000454460000000001,0.005,-0.00209589999999998,0,-0.00400000000000002,-0.0144667208909209,-0.334313456230537,-0.039627145759664,-0.0375477431563414,-0.00352997645768732,-0.713160938126648
24,2,2,-0.0414417,0.0114794,0.0277340000000001,0.035481,0.329571,0.0022238,-0.00629180000000001,-0.0164628,-0.00684000000000001,3.26399999999971e-05,0.015,-0.0272363,0,-0.00199999999999999,-0.0320635934548447,-0.021897851809322,-0.0603850774931464,0.0027285257160118,-0.0172271069246083,0.358968180598348
24,2,3,-0.2061373,0.0218047,-0.070802,0.0605983,-0.445754,0.0050551,0.0939955,-0.0203951999999999,-0.00682999999999999,-0.000129730000000006,-0.034,-0.00197190000000001,0,0.00400000000000002,-0.0174887195714692,-0.231890488280387,-0.0491410945979155,-0.0729632059681995,-0.00247975623003144,-0.506514833086246
24,2,4,-0.0561478,0.031926,-0.0629590000000002,0.0798246,0.0909710000000001,0.0096635,0.0586831,-0.0263082,-0.00808,0.000500360000000004,0.01,-0.057694,0,-0.00400000000000002,-0.0435645448152375,-0.102664151088199,-0.0704100529107828,-0.064319755293032,-0.0277967911928334,0.165283335934791
24,2,5,0.3073359,0.0462452,0.10241,0.0995869,0.526819,0.0201702,0.0430836,0.0121549,-0.002,-0.000129099999999998,0.00700000000000001,-0.0858093,0,0.00600000000000001,-0.0523238510931422,0.216558749662002,-0.0794869229668494,0.0900399408092005,-0.0366102016641758,0.420526449653339
24,2,6,-0.1266215,0.0638917,-0.209739,0.1220399,-0.626502,0.0348494,0.0692485,0.0107596,0.01158,0.000298599999999993,-0.009,0.0239269,1,0.00199999999999999,-0.013807718054015,-0.160444716153213,-0.0322255589203173,-0.229252375131761,-0.00530283058427555,-0.597137647508138
24,2,7,0.1958379,0.0789776,0.233607,0.1403229,0.115114,0.049486,0.0290553,0.0672652,-0.002,6.57800000000108e-05,-0.017,-0.00355790000000006,0,-0.00300000000000001,-0.0473240326509226,0.182370877299256,-0.0538840925494349,0.275176398883216,-0.0449894439601953,0.0902729034101394
24,2,8,0.0411622,0.0915541,0.0387979999999999,0.149495,0.0203519999999999,0.0647816,0.0278573,0.0793623,-0.00700000000000001,0.000317899999999991,0.012,-0.00809179999999997,0,-0.015,-0.0617661752495193,0.0281027056895494,-0.0552095218740191,0.0738266986568185,-0.0632933016805815,-0.019572044614316
24,2,9,-0.00208910000000007,0.1063891,0.0484940000000003,0.1560611,0.0932690000000003,0.0804466,-0.0250026,-0.0811805999999999,-0.009,1.40200000000057e-05,-0.034,-0.00740529999999999,0,0.00400000000000002,-0.0452400234772739,0.0206207930830528,-0.0237343455424734,0.0468631197177363,-0.0528451396463177,0.185662945330432
24,2,10,-0.0358567,0.1213798,0.0603899999999999,0.1618382,-0.0886300000000002,0.0972545,0.1150927,-0.0176366,0.008,0.000193790000000007,0.038,-0.0268381,0,-0.00100000000000001,-0.0594307111934138,-0.0116292469028191,-0.0399065709345744,0.0412802282682068,-0.0684429459114548,-0.0883972246468762
24,2,11,-0.0569334,0.1294155,-0.168807,0.157394,0.258942,0.112079,-0.00100869999999997,0.051044,-0.006,0.000104809999999986,0.017,-0.0625461,0,0.00199999999999999,-0.0403075677043981,-0.000162065178364722,-0.00563101676010849,-0.138607580038822,-0.0503624238425359,0.266040702627104
24,2,12,-0.200518,0.1339973,-0.015673,0.14777,0.208639,0.1225867,0.1385773,0.0280490999999999,0.001,-0.000157159999999994,-0.014,0.1024341,0,0.00300000000000001,-0.0197545323120588,-0.174778886240579,0.00529601593347914,0.00272335491913459,-0.0280928901551476,0.314142978531698
25,3,1,0.1005837,0.0071138,0.0406870000000001,0.0255126,0.0688390000000001,0.0007549,0.1032115,0.0177539999999999,-0.00417,0.0002135,-0.012,-0.0316710999999999,0,-0.00100000000000001,-0.00763115328926869,0.0471705560063128,-0.0224535620447692,0.0064473072665258,-0.00120719126714503,-0.0328235743163883
25,3,2,-0.0423806,0.0214749,0.0788599999999997,0.0601046,0.0997680000000001,0.0049135,0.1269888,-0.00436959999999997,-0.00117,3.10499999999969e-05,-0.017,-0.0363037,0,0.00300000000000001,-0.015147137108205,-0.00794888477833162,-0.0379963808096825,0.0573040659572205,-0.00429342972341448,0.127353352279694
25,3,3,0.0858350999999999,0.0262237,-0.00166099999999991,0.0697688,0.0505599999999999,0.0063738,0.00905260000000002,0.0181248000000001,-0.01383,0.000353390000000005,-0.016,-0.0185136,0,-0.005,-0.0166688236834226,0.0383128667918504,-0.0324684492815361,0.00252900645289714,-0.00928337982498841,0.0659579949466713
25,3,4,0.0265230000000001,0.0506349,-0.0105710000000001,0.1142511,-0.374106,0.0180672,0.048591,0.010934,-0.00458,6.04199999999899e-05,0.025,0.0351778,0,-0.00199999999999999,-0.0232787726621476,-0.015123463846198,-0.0408233970422263,-0.0212372070202027,-0.0149512425913062,-0.367161590701795
25,3,5,0.141841,0.0614647,-0.0058069999999999,0.1195785,0.0685180000000001,0.0316467,0.0951406,-0.00851310000000005,-0.0095,0.000268040000000003,-0.025,-0.0194391,0,0.011,-0.0164974960648599,0.0399397157809542,-0.0303809857514954,-0.00634623863906521,-0.0104152409412578,0.0592246919896846
25,3,6,0.0172870000000001,0.0840892,0.0380739999999999,0.1434283,0.184367,0.0515313,-0.00029659999999998,-0.00980829999999999,0.00558,-3.09000000000026e-05,-0.00800000000000001,0.00675079999999998,0,-0.00599999999999998,-0.0285025746047197,-0.0289784922378309,-0.0418989760223088,0.0261676289248888,-0.0221699349500102,0.171273560586128
25,3,7,0.0421640000000001,0.0967577,-0.00978699999999977,0.1529259,0.26137,0.0709796,0.0454856,0.0709904,0.003,0.000332489999999996,0.00800000000000001,0.0372953,0,-0.00400000000000002,-0.0322530601858301,0.0210226090268535,-0.0443249692813394,0.0320444560909426,-0.0260386458592711,0.320120810271308
25,3,8,-0.030535,0.0987031,-0.0540740000000004,0.1307471,-0.080114,0.0842055,0.0050867,-0.0485832,-0.004,-1.91499999999856e-05,0,0.0461329000000001,0,0.00100000000000001,-0.0444851131186942,-0.0364988557909979,-0.0616974616020249,-0.027136304580166,-0.0357469759016635,-0.131119047121208
25,3,9,0.138513,0.1106891,0.0697510000000001,0.1343503,-0.221216,0.0967636,0.00931540000000003,0.0477905000000001,0.003,0.000335450000000002,-0.015,-0.0894985000000001,0,0.00399999999999999,-0.0512230401219915,0.162913038561086,-0.0642117611990335,0.0662581009430281,-0.0415852600300728,-0.110036110966075
25,3,10,-0.018427,0.113476,0.0283120000000001,0.120394,-0.0680780000000003,0.109279,0.0844076,0.0170981,-0.003,1.8199999999986e-05,0.00799999999999999,-0.0440045999999999,0,-0.00599999999999998,-0.0616216659973503,0.00638400586754451,-0.0719880616107977,0.0133284421218832,-0.0525944028362908,-0.146458365109555
25,3,11,0.130892,0.1131057,-0.0378690000000002,0.110742,-0.00762399999999985,0.10655,0.1308159,0.0216947,0.003,0.000462800000000012,0.006,-0.040818,0,0.00299999999999997,-0.0542865874010801,0.192535218028068,-0.0560127327403873,-0.00204837652212774,-0.0516682396499535,0.11088831540481
